system:index,admin2Name,Tot_Prec,Tot_Prec_1,Tot_Prec_2,Tot_Prec_3,Tot_Prec_4,Tot_Prec_5,Tot_Prec_6,Tot_Prec_7
00000000000000000387,Mae Chai,2222.528041489919,1518.4919269636566,2502.9190411773384,3059.6681367107467,4124.380234621085,1082.69622631073,540.9884642750609,77.07989691659517
00000000000000000388,Phu Sang,2033.3231032296726,1398.9324214393018,2775.3347243757808,2884.7750013201844,4275.720821419884,751.6814356859992,762.3435201607499,65.87946323880962
00000000000000000389,Phu Kamyao,1405.953301710241,1076.539384136013,1907.4179286863289,2248.1035569546266,2997.6452838486316,650.3455554027183,450.288245119768,61.17728821062573
00000000000000000040,Mueang Phichit,3055.3934619707215,2280.8072874387103,3667.3443214192107,5378.099570408989,5532.6563582981335,1996.8689804011697,1168.013875095517,14.77062539282967
00000000000000000041,Wang Sai Phun,1240.7002439910289,1032.80214750346,1588.5757215649471,2344.868433346468,2374.5981392028293,900.6312066003388,517.086866053413,21.807425016515396
00000000000000000042,Pho Prathap Chang,1781.4549339593627,1425.1254017558754,2344.5574586522343,3455.5718098528246,3590.1369239648184,1314.323107911091,681.4899338703527,8.830573790681129
00000000000000000043,Taphan Hin,2127.759530725666,1864.687411032471,2875.960207561418,4263.8035993239455,3874.021847356534,1544.551810781629,790.331443532308,9.670458455179253
00000000000000000044,Bang Mun Nak,1584.2538159164728,1641.7520925456402,2222.4605073816633,3040.4383913507654,3049.372369801764,1165.5496568763958,678.2540211873896,15.409796366037106
00000000000000000045,Pho Thale,2126.0265368059568,2044.386306893592,2727.693039492065,4195.740606520223,4367.0590854981365,1543.7070728442247,685.0310714833877,1.818861186504364
00000000000000000046,Sam Ngam,1896.1014778557947,1424.8897100766499,2080.428490634993,3014.7743829708475,3597.059202663571,1225.5874505940606,854.9781191802492,27.477227093191708
00000000000000000047,Tap Khlo,1825.888264666352,1780.7117441439166,2498.9792639087227,3472.249440602695,3337.1881189888595,1390.8454838079565,945.8984789605234,42.341478576847145
00000000000000000048,Sak Lek,1097.292239264881,761.9495880762736,1069.5016393941992,1609.3658262084512,1808.9953215140924,628.2310113775964,350.7103945638619,6.1470083736905865
00000000000000000049,Bueng Na Rang,1280.945770030863,1045.657418311811,1586.2027996886006,2714.6233297086233,2617.096818649068,818.6644588358262,466.07472906299665,0.52298069748224
0000000000000000004a,Dong Charoen,971.8535006859723,970.946689822627,1396.337727548562,1855.4537100773234,1832.7819286776526,750.34061377329,450.1067665193595,20.82706803153543
0000000000000000004b,Wachirabarami,1668.1939276695252,1306.273031284295,1564.6753785432554,2172.9765561328213,2869.5315770822413,987.8659777753494,718.6122891743978,24.996237320058487
00000000000000000078,Mueang Nakhon Pathom,1482.0824439880896,1833.0741278695125,1381.6811749355463,2526.7847017152635,2234.7500527746543,3250.6196590395534,1579.5914030958625,77.38458087607926
00000000000000000079,Kamphaeng Saen,1781.2637409046583,1341.9532217591416,1217.7550860447043,2910.078005668696,3136.7244012645647,3918.5581987222035,1814.815750346464,90.96748330780102
0000000000000000007a,Nakhon Chai Si,862.0384627505846,1353.3192053383473,899.0953948474397,1840.6108715908201,1498.5012872396733,2085.1967987102626,923.7487652615006,64.93183807391748
0000000000000000007b,Don Tum,512.7414027625439,596.4149653088813,437.027184122684,922.132345087388,860.2250265495449,1229.9092207637486,538.2582680206673,26.465248866174736
0000000000000000007c,Bang Len,1731.326751781445,2036.693433204352,1540.6057663169563,3411.295452519959,3306.3882814220356,4624.269721823113,2025.6769831694808,75.00756317400464
0000000000000000007d,Sam Phran,735.1339002151117,1154.1211205501181,908.713246047263,1659.6799193354213,1279.5384947758093,1819.66649674855,800.4244264976651,69.48669934366264
0000000000000000007e,Phutthamonthon,230.30697499724,378.67501748963895,238.5193597643983,503.76824026668777,377.3064514300403,580.0311306177401,216.19580113280057,21.20496101519641
000000000000000000ac,Mueang Krabi,4914.939455839232,7110.333325831096,5348.899133571923,9467.801410007478,8341.429421920402,10772.987580954796,5981.842777749604,4209.631521108105
000000000000000000ad,Khao Phanom,6474.592949719522,7295.541860097999,5778.914605054669,9262.929576666216,7660.947121947421,10445.473416539735,8808.148648305028,7316.262449791854
000000000000000000ae,Ko Lanta,2187.614724589329,3160.450521830951,2261.1131686654753,3697.2415688739106,3193.853585660223,3888.0383493834856,2241.7371685308567,2667.146905960756
000000000000000000af,Khlong Thom,7394.133448970084,9163.651912212372,7300.330827713013,10533.011057666705,9816.023330729617,11807.506048459632,9197.573044461831,9166.127178087421
000000000000000000b0,Ao Luek,5288.024007616791,7841.702077370064,5089.511511400634,9164.041932547327,7445.171336656459,10065.829666494858,7112.01321398043,4411.411784559137
000000000000000000b1,Plai Phraya,4751.4446816266745,6295.9807799152295,4322.2649306615185,6702.830306782442,6161.504307569242,7777.84738816093,6042.841257063547,4170.372501876307
000000000000000000b2,Lam Thap,1957.9128148256561,2251.3237084052143,1868.3975594202675,2533.8032164573674,2325.7653840569883,2754.871274343191,2795.303566792432,2602.881752309612
000000000000000000b3,Nuea Khlong,3120.179697356504,4564.94779185875,3558.9530036103492,5408.938723408941,4784.867980396046,5922.040532628228,4096.051450039358,3562.052331597197
000000000000000000bc,Mueang Phuket,1634.132947238286,1907.2167532313106,1479.4253065146654,2698.7447832313246,2596.504807099641,2765.7331116292985,1742.751780754912,944.3777683772291
000000000000000000bd,Kathu,766.1991121236016,841.4225362085829,621.6982057534012,1215.3248708369688,1121.3927675639884,1265.5707612177905,772.7770598224565,411.4672299665564
000000000000000000be,Thalang,2774.2059354155667,2939.2834256443316,2104.773225991866,3910.995919337927,3881.344071814593,5032.411540725185,3083.111305719263,1475.226050707873
00000000000000000100,Mueang Phatthalung,1663.0036809766993,1539.4523957822837,1120.7152421203314,1887.424439997299,1805.0267141005575,5359.054532003402,7795.278914311353,10745.955806522741
00000000000000000101,Kong Ra,2154.7492108447877,1869.866028833857,1366.205021491705,2117.274963156382,1695.8921855056988,3907.648296485228,3831.8169184722155,5900.144544378916
00000000000000000102,Khao Chaison,1658.0706348821227,1385.286806957862,990.2593432879917,1722.093300968058,1407.7131618817646,3621.7470243921466,5400.831962125442,7652.083461092034
00000000000000000103,Tamot,2065.552189053741,1730.7247473043553,1239.8559963132818,2161.8212498281514,1401.3522055541769,3402.5469532218635,3287.477862894769,5409.8798071412475
00000000000000000104,Khuan Khanun,2126.6385854674318,1977.9074686356623,1549.0021453081392,2245.1490668371616,2725.618033908395,5356.178431987762,8769.543470281713,10400.105611423418
00000000000000000105,Pak Phayun,2625.7289744012496,1655.0046892507405,1320.7621465706359,2326.6896424891897,1793.873400040701,3517.3685657033734,7681.197745994493,9654.766242558348
00000000000000000106,Si Banphot,1364.6644710596875,1361.236006646998,1102.2949231652653,1460.8792325580819,1657.978797596576,2910.1984925447723,3278.703573139041,4439.582090476915
00000000000000000107,Pa Bon,3210.5622116659197,2618.88942750295,1785.0418883211469,3199.560304072325,2105.9913936932885,4816.082168185479,5973.479017207202,9326.332074305592
00000000000000000108,Bang Kaeo,802.5703395675212,602.1684102432401,425.5545989073959,750.545732120439,619.0007613887973,1437.7196993678226,2509.8656570303674,3331.453873604419
00000000000000000109,Pa Phayom,1731.029829898535,1637.6116794043899,1552.4959569753387,1718.3558701646098,2213.0107632450026,3367.068419271357,4329.783507371416,5020.634554408578
0000000000000000010a,Srinagarindra,1638.0923315487657,1607.8862875639222,1121.2015277965397,1792.447982145758,1550.3977438954746,3673.002499863681,3697.0369128077637,5133.51072954851
00000000000000000188,Mueang Lop Buri,3384.3280222107387,4346.496803953134,4012.4257009861517,4431.575506116829,6995.308092823216,4885.3408395196875,1935.5052347426322,70.9802384628969
00000000000000000189,Phatthana Nikhom,4635.153564337188,4757.395266884449,4833.496807323717,5371.987970606486,7951.172116839654,4915.921138458628,1800.2266862607469,83.74311571869195
0000000000000000018a,Khok Samrong,2930.6652728903523,3568.57057484552,3141.8924370765685,3965.977661654529,5430.35700939403,2917.746796293819,2395.654047550874,4.819543946958056
0000000000000000018b,Chai Badan,5447.495487082239,5095.006694988175,4866.182431908214,7131.793262878121,9787.797167499391,2285.602989356658,3174.806094371572,34.810118001115086
0000000000000000018c,Tha Wung,1054.2805729192846,1171.6001111170826,1212.1288769291898,1535.506688435872,2374.9866728988345,1631.3712364028486,757.9809331931319,35.411182506411684
0000000000000000018d,Ban Mi,1919.4426134918253,2392.1569224095815,2104.6221231236173,2863.645807879579,4344.292256007474,2221.907745581515,2149.066253428365,5.599996450835583
0000000000000000018e,Tha Luang,1943.2589853211946,1937.963368292416,1885.5461010484134,2562.1069830473734,3626.0576298582796,1112.312358493431,751.3180799372057,41.645430736915735
0000000000000000018f,Sa Bot,1493.9811868013123,1563.856462839538,1447.8547037872613,2135.2978780652966,2746.5136991407358,892.5396132053114,1065.667111419229,21.013188385028464
00000000000000000190,Khok Charoen,2370.1019433619936,2376.180802137712,2350.8035933041106,3799.6962972108063,4764.05967647515,1362.9220138554476,1633.1352741014725,44.95815054051505
00000000000000000191,Lam Sonthi,2486.857319168951,2009.067874770071,1910.8387542589037,3608.072996705186,4721.411593164183,1326.53961074399,1054.8525848725262,13.392509626173505
00000000000000000192,Nong Muang,1838.6591640584606,2011.6571604167714,1822.7482039975182,2820.5625417643905,3588.7310457435315,1258.231456661692,1561.4882755092544,37.95813048692311
00000000000000000199,Mueang Chai Nat,922.4259678410548,1216.4598987728941,1170.7806598018194,1251.7190795505746,2438.3936767260234,1203.3623818229225,929.2030322224488,15.467063991301785
0000000000000000019a,Manorom,936.7693084333458,1150.03717472413,1166.228746356216,1350.2774363115723,2139.733447194567,1076.8306923660575,898.8127439442803,11.113509247817245
